route,route_category
0-UNASSIGNED,non-drug
ARTHOGRAPHY,non-drug
BLOCK/INFILTRATION,include
BUCCAL,include
CYSTOGRAPHY,non-drug
DENTAL,non-drug
DISINFECTANT (Barn),non-drug
DISINFECTANT (Contact Lens),non-drug
DISINFECTANT (Domestic),non-drug
DISINFECTANT (Food Premises),non-drug
DISINFECTANT (Hospital/HC Facilities),non-drug
DISINFECTANT (Institutional/Industrial),non-drug
DISINFECTANT (Medical Instruments),non-drug
EPIDURAL,include
EXTRACORPOREAL,include
GASTRIC,include
HAEMODIALYSIS,include
HAEMODIALYSIS (INTRAPERITONEAL),include
IMPLANT,include
INFILTRATION,include
INHALATION,include
INSTILLATION,include
INTERSTITIAL,include
INTRA-AMNIOTIC,include
INTRA-ARTERIAL,include
INTRA-ARTICULAR,include
INTRABRANCHIAL,non-drug
INTRABURSAL,include
INTRACARDIAC,include
INTRACAUDAL,include
INTRACAVERNOSAL,include
INTRACAVITARY,include
INTRACEREBROVENTRICULAR,include
INTRACERVICAL,include
INTRACORONARY,include
INTRACRANIAL,include
INTRACUTANEOUS,include
INTRADERMAL,include
INTRADISCAL,include
INTRAGANGLIONAL,include
INTRAGLANDULAR,include
INTRAINTESTINAL (UPPER),include
INTRALESIONAL,include
INTRAMAMMARY,include
INTRAMUSCULAR,include
INTRAOCULAR,include
INTRAPERITONEAL,include
INTRAPLEURAL,include
INTRAPULMONARY,include
INTRARUMINAL,non-drug
INTRASPINAL,include
INTRASYNOVIAL,include
INTRATENDINOUS,include
INTRATHECAL,include
INTRATHORACIC,include
INTRATRACHEAL,include
INTRAUTERINE,include
INTRAVASCULAR,include
INTRAVENOUS,include
INTRAVENTRICULAR,include
INTRAVESICAL,include
INTRAVESICULAR,include
INTRAVITREAL,include
INTUBING,non-drug
IRRIGATION,non-drug
LABORATORY TEST,non-drug
MISCELLANEOUS,include
NASAL,include
NASOGASTRIC,include
NERVE BLOCK,include
NIL,include
OPHTHALMIC,include
ORAL,include
OTIC,include
PARENTERAL (UNSPECIFIED),include
PERCUTANEOUS,include
PERIARTICULAR,include
PERIOSTEAL,include
RECTAL,include
REFER (SEE DOSAGE FORM),include
RETROBULBAR,include
SOFT TISSUE INJECTION,include
SUBARACHNOIDAL,include
SUBCUTANEOUS,include
SUBGINGIVAL,include
SUBLINGUAL,include
SUBMUCOSAL,include
SUBRETINAL,include
SUPRACHOROIDAL,include
SURGICAL,non-drug
TEAT DILATOR,non-drug
TEAT-DIP,non-drug
TOPICAL,include
TOPICAL (COMMERCIAL),non-drug
TOPICAL (FOOD PREMISES),non-drug
TOPICAL (HOSPITAL/HC FACILITIES),non-drug
TOPICAL (HOUSEHOLD),non-drug
TRANSDERMAL,include
UDDER WASH,non-drug
URETHRAL,include
VAGINAL,include
